,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,6,182,4784,2139,634,912,0.468,0.277,0.738,26.3,11.8,3.5,5,6.7,0.067,-1.2,1
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,0.067,1.1,6.3
3,3,BOS,Jayson Tatum,Duke,6,432,14692,9648,3017,1423,0.456,0.375,0.848,34,22.3,7,3.3,44.1,0.144,3.2,19.2
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,0.416,0.292,0.68,23.1,11.3,4,1.8,-1.7,-0.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,6,386,12504,7778,1411,2400,0.472,0.324,0.733,32.4,20.2,3.7,6.2,22.3,0.086,0.5,7.8
6,6,ORL,Jonathan Isaac,Florida State,4,147,3636,1324,785,152,0.434,0.333,0.789,24.7,9,5.3,1,7,0.093,0.3,2.1
7,7,MIN,Lauri Markkanen,Arizona,6,345,10558,5942,2444,470,0.456,0.372,0.857,30.6,17.2,7.1,1.4,24.7,0.112,0.7,7.2
8,8,NYK,Frank Ntilikina,,6,312,5300,1498,550,678,0.37,0.323,0.763,17,4.8,1.8,2.2,0.4,0.003,-4.3,-3.1
9,9,DAL,Dennis Smith Jr.,NC State,6,267,6462,2756,791,1159,0.403,0.299,0.666,24.2,10.3,3,4.3,0.4,0.003,-2.3,-0.6
10,10,SAC,Zach Collins,Gonzaga,5,240,4496,1748,1131,363,0.476,0.344,0.754,18.7,7.3,4.7,1.5,7.3,0.078,-1.7,0.4
11,11,CHO,Malik Monk,Kentucky,6,377,7834,4110,899,895,0.43,0.356,0.846,20.8,10.9,2.4,2.4,8.5,0.052,-1.5,0.9
12,12,DET,Luke Kennard,Duke,6,347,8028,3365,967,671,0.45,0.43,0.875,23.1,9.7,2.8,1.9,16.3,0.098,-0.4,3.3
