Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,5,297,9104,4960,3104,491,0.597,0.263,0.753,30.7,16.7,10.5,1.7,30.4,0.16,1.1,7.2
2,2,SAC,Marvin Bagley III,Duke,5,200,4935,2642,1448,179,0.505,0.281,0.67,24.7,13.2,7.2,0.9,8.8,0.086,-2,0
3,3,ATL,Luka Don?i?,,5,321,10996,8841,2747,2560,0.466,0.339,0.737,34.3,27.5,8.6,8,38.3,0.167,7.3,25.8
4,4,MEM,Jaren Jackson Jr.,Michigan State,5,258,7033,4172,1405,288,0.462,0.349,0.788,27.3,16.2,5.4,1.1,18.4,0.125,0.6,4.6
5,5,DAL,Trae Young,Oklahoma,5,344,11632,8787,1283,3186,0.439,0.352,0.876,33.8,25.5,3.7,9.3,32.2,0.133,3.1,15.1
6,6,ORL,Mo Bamba,Texas,5,273,4955,2068,1593,247,0.477,0.359,0.681,18.2,7.6,5.8,0.9,12.6,0.122,0.2,2.8
7,7,CHI,Wendell Carter Jr.,Duke,5,252,7065,3240,2238,522,0.516,0.315,0.733,28,12.9,8.9,2.1,17.3,0.117,-0.4,2.8
8,8,CLE,Collin Sexton,Alabama,5,265,8308,5026,767,855,0.464,0.382,0.826,31.4,19,2.9,3.2,8,0.046,-2.3,-0.7
9,9,NYK,Kevin Knox,Kentucky,5,264,4658,1898,744,189,0.381,0.345,0.713,17.6,7.2,2.8,0.7,0.4,0.004,-4.4,-2.8
10,10,PHI,Mikal Bridges,Villanova,5,381,12251,4862,1527,881,0.498,0.38,0.853,32.2,12.8,4,2.3,31.4,0.123,1.2,9.9
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,5,303,9859,6305,1375,1370,0.483,0.348,0.841,32.5,20.8,4.5,4.5,27.7,0.135,3,12.5
12,12,LAC,Miles Bridges,Michigan State,4,291,8460,3893,1641,656,0.473,0.346,0.809,29.1,13.4,5.6,2.3,16,0.091,-0.2,3.8
13,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.7,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,4,180,4674,2711,1059,192,0.509,0.418,0.801,26,15.1,5.9,1.1,13.5,0.138,1.4,4
15,15,WAS,Troy Brown Jr.,Oregon,5,287,5726,1889,1107,434,0.431,0.351,0.776,20,6.6,3.9,1.5,7.4,0.062,-1.8,0.3
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,5,264,6424,2395,1210,722,0.417,0.361,0.78,24.3,9.1,4.6,2.7,12.6,0.094,0,3.2
18,18,SAS,Lonnie Walker IV,Miami (FL),5,259,5488,2576,595,393,0.421,0.347,0.803,21.2,9.9,2.3,1.5,3.5,0.031,-2.9,-1.2
19,19,ATL,Kevin Huerter,Maryland,5,340,10074,4115,1170,1064,0.443,0.386,0.763,29.6,12.1,3.4,3.1,13.6,0.065,-0.9,2.8
20,20,MIN,Josh Okogie,Georgia Tech,5,305,6091,1993,916,359,0.403,0.288,0.752,20,6.5,3,1.2,7.6,0.06,-2.4,-0.7
21,21,UTA,Grayson Allen,Duke,5,257,6007,2495,706,435,0.436,0.395,0.86,23.4,9.7,2.7,1.7,12.7,0.102,-0.5,2.3
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,5,299,5192,2009,500,654,0.413,0.377,0.842,17.4,6.7,1.7,2.2,5.4,0.05,-2.3,-0.4
24,24,POR,Anfernee Simons,,5,273,6546,3450,617,673,0.433,0.387,0.857,24,12.6,2.3,2.5,6.9,0.05,-1.8,0.3
25,25,LAL,Moritz Wagner,Michigan,5,245,3964,2012,913,294,0.49,0.319,0.821,16.2,8.2,3.7,1.2,9.1,0.111,-0.8,1.2
26,26,PHI,Landry Shamet,Wichita State,5,293,6757,2650,523,492,0.407,0.39,0.843,23.1,9,1.8,1.7,11.6,0.082,-1.8,0.4
27,27,BOS,Robert Williams,Texas A&M,5,202,4138,1491,1396,292,0.732,0,0.66,20.5,7.4,6.9,1.4,21.6,0.25,4.9,7.2
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
29,29,BRK,D?anan Musa,,2,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,5,294,4724,1549,568,490,0.401,0.395,0.808,16.1,5.3,1.9,1.7,7.7,0.078,-0.9,1.4
33,33,DAL,Jalen Brunson,Villanova,5,341,9068,4807,1069,1429,0.492,0.384,0.814,26.6,14.1,3.1,4.2,25.7,0.136,1,6.8
34,34,ATL,Devonte' Graham,Kansas,5,306,7886,3562,708,1379,0.373,0.358,0.818,25.8,11.6,2.3,4.5,12.6,0.077,-0.2,3.5
35,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,0.34,0.209,0.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10,-0.6
36,36,NYK,Mitchell Robinson,,5,281,6864,2318,2182,171,0.716,,0.532,24.4,8.2,7.8,0.6,30.5,0.213,2.3,7.5
37,37,SAC,Gary Trent Jr.,Duke,5,267,7747,3868,621,387,0.421,0.384,0.827,29,14.5,2.3,1.4,13.9,0.086,-0.6,2.7
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,143,1871,439,320,118,0.432,0.3,0.759,13.1,3.1,2.2,0.8,1.7,0.044,-3.6,-0.7
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,5,234,4790,1445,1556,351,0.575,0.265,0.641,20.5,6.2,6.6,1.5,13.8,0.139,0.4,2.9
42,42,DET,Bruce Brown,Miami (FL),5,340,8305,2829,1437,811,0.481,0.343,0.745,24.4,8.3,4.2,2.4,16.1,0.093,-0.9,2.2
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,5,263,4913,2270,1007,282,0.495,0.274,0.623,18.7,8.6,3.8,1.1,6.2,0.061,-2.1,-0.2
46,46,HOU,De'Anthony Melton,USC,5,303,6756,2667,1126,839,0.415,0.373,0.772,22.3,8.8,3.7,2.8,11.9,0.084,0.8,4.7
47,47,LAL,Svi Mykhailiuk,Kansas,5,243,3910,1520,412,308,0.399,0.359,0.76,16.1,6.3,1.7,1.3,2.7,0.033,-2.6,-0.6
48,48,MIN,Keita Bates-Diop,Ohio State,5,219,3622,1333,686,179,0.475,0.325,0.742,16.5,6.1,3.1,0.8,5.5,0.072,-1.9,0.1
49,49,SAS,Chimezie Metu,USC,5,201,2648,1155,694,151,0.491,0.3,0.76,13.2,5.7,3.5,0.8,4,0.073,-1.7,0.2
50,50,IND,Alize Johnson,Missouri State,5,76,568,189,228,32,0.481,0.227,0.711,7.5,2.5,3,0.4,1.3,0.108,-2.4,-0.1
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,5,245,5068,2298,580,642,0.458,0.369,0.825,20.7,9.4,2.4,2.6,9.7,0.092,-1.7,0.4
55,55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,0,0,,2.5,0,0,0,0,-0.217,-21.8,0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,0.529,0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,0,0,0.5,5,0.2,1.2,0,-0.1,-0.225,-17.2,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-9.9,-0.2
